EAN / UPC;Código Maestro;Código Producto;Código Completo (SKU);Marca;Descripción Maestra;Descripción Color;Coste;PVPR;PVPR - Dto1;Dto1;Dto2;Dto3;Dto. Equivalente;Cantidad mínima;Cantidad múltiplo;Cantidad por pack;Stock;Stock 15 días
8050459871630;06640000;06640000 3D8;06640000 3D8;ROLLERBLADE;RUEDAS HYDROGEN SPECTRE 80/85A (4PCS);AQUA;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459871647;06640000;06640000 929;06640000 929;ROLLERBLADE;RUEDAS HYDROGEN SPECTRE 80/85A (4PCS);LILAC;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459891973;06655600;06655600 100;06655600 100;ROLLERBLADE;RUEDAS 68/80A APEX (4PCS);BLACK;9,80;19,99;19,99;0,00;51,00;0,00;51,00;1;1;1;5;0
8050459891980;06655700;06655700 100;06655700 100;ROLLERBLADE;RUEDAS 72/80A APEX (4PCS);BLACK;9,80;19,99;19,99;0,00;51,00;0,00;51,00;1;1;1;5;0
8050459907186;06R20000;06R20000 100;06R20000 100;ROLLERBLADE;MOCHILA LT 20 ECO;BLACK;24,50;49,99;49,99;0,00;51,00;0,00;51,00;1;1;1;20;0
8050459898514;07061300;07061300 S25;07061300 S25 300;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459898507;07061300;07061300 S25;07061300 S25 290;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459898491;07061300;07061300 S25;07061300 S25 280;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459898521;07061300;07061300 S25;07061300 S25 310;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;7;0
8050459898538;07061300;07061300 S25;07061300 S25 320;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;4;0
8050459898477;07061300;07061300 S25;07061300 S25 260;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459898439;07061300;07061300 S25;07061300 S25 220;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;6;0
8050459898446;07061300;07061300 S25;07061300 S25 230;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;2;0
8050459898484;07061300;07061300 S25;07061300 S25 270;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459898453;07061300;07061300 S25;07061300 S25 240;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459898460;07061300;07061300 S25;07061300 S25 250;ROLLERBLADE;PATINES RB 110 3WD;BLACK/SAFFRON YELLOW;137,20;279,99;279,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459899764;07220900;07220900 741;07220900 741 290;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;12;0
8050459899740;07220900;07220900 741;07220900 741 270;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459899771;07220900;07220900 741;07220900 741 300;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;9;0
8050459899788;07220900;07220900 741;07220900 741 310;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;7;0
8050459899757;07220900;07220900 741;07220900 741 280;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459899719;07220900;07220900 741;07220900 741 240;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;4;0
8050459899733;07220900;07220900 741;07220900 741 260;ROLLERBLADE;PATINES TWISTER 110;BLACK/RED;176,40;359,99;359,99;0,00;51,00;0,00;51,00;1;1;1;15;0
